s, V0, V1, V2
0.008565902709960938, 80.00,  0.00,  0.00
0.2675795555114746, 55.00, 15.00,  0.00
0.527198314666748,535.00,  0.00,  0.00
0.7864012718200684,475.00,425.00,290.00
1.0455877780914307, 25.00,525.00,515.00
1.3048827648162842, 30.00,  0.00,  0.00
1.5643203258514404, 40.00,  5.00,  0.00
1.8237812519073486,540.00,  5.00,  0.00
2.0818772315979004,495.00,405.00,245.00
2.3377668857574463, 10.00,475.00,555.00
2.5945937633514404, 70.00,  0.00,  0.00
2.8528506755828857, 20.00, 95.00,  0.00
3.111631155014038,575.00,150.00,  0.00
3.370441198348999,475.00,420.00,370.00
3.6301350593566895,  0.00,440.00,550.00
3.885746717453003, 60.00,  0.00, 75.00
4.1424925327301025, 40.00, 20.00, 50.00
4.401278495788574,560.00,  0.00,  0.00
4.66054892539978,515.00,360.00,235.00
4.9197916984558105,  0.00,435.00,505.00
5.17973780632019, 75.00,  0.00,  0.00
5.438429594039917, 25.00, 15.00,  0.00
5.698055267333984,555.00,340.00,150.00
5.957236051559448,415.00,475.00,455.00
6.215422868728638,  0.00,405.00,410.00
6.473321914672852, 35.00,  0.00,  0.00
6.731110572814941,135.00, 25.00,  0.00
6.989557504653931,550.00,290.00,125.00
7.2487242221832275,460.00,450.00,475.00
7.507888078689575,  0.00,245.00,380.00
7.7703328132629395, 60.00,  0.00,  0.00
8.030043601989746,475.00, 15.00,  0.00
8.289639711380005,545.00,130.00,  0.00
8.548299551010132,290.00,465.00,555.00
8.805904388427734, 85.00,  0.00, 35.00
9.06432819366455, 25.00, 25.00,  0.00
9.322532892227173,490.00, 45.00,  0.00
9.580434560775757,540.00,170.00,  0.00
9.838699579238892,280.00,505.00,415.00
10.097439289093018,  0.00,155.00,105.00
10.356303215026855, 85.00,  0.00,  0.00
10.613939046859741,455.00,  0.00,  0.00
10.872359037399292,535.00,275.00,  0.00
11.130827903747559,465.00,475.00,335.00
11.391170740127563,  0.00,335.00,320.00
11.650123357772827, 75.00,  0.00, 15.00
11.907576560974121, 55.00, 10.00,  0.00
12.165903329849243,555.00,185.00,  0.00
12.42374324798584,485.00,420.00,250.00
12.682146072387695,  0.00,445.00,490.00
12.940359830856323, 60.00,  0.00,  0.00
13.198481798171997, 30.00,  0.00,  0.00
13.456535816192627,570.00, 35.00,105.00
13.71569561958313,525.00,265.00,375.00
13.973351240158081, 15.00,455.00,570.00
14.232548236846924, 65.00,  0.00, 75.00
14.491436243057251, 40.00,  0.00,230.00
14.749742984771729,555.00, 20.00,245.00
15.009696006774902,485.00,395.00,420.00
15.268113851547241,  0.00,505.00,520.00
15.52684473991394, 30.00,  0.00,  0.00
15.785507440567017, 10.00, 70.00,  0.00
16.04463768005371,555.00,165.00,  0.00
16.303252458572388,470.00,460.00,360.00
16.56242537498474,  0.00,525.00,410.00
16.820561170578003, 30.00,  0.00,  0.00
17.07978105545044, 30.00, 45.00,  0.00
17.337639093399048,565.00,140.00,  0.00
17.59548592567444,490.00,385.00,420.00
17.854593753814697,  0.00,405.00,550.00
18.113423824310303, 65.00,  0.00,  0.00
18.37120270729065, 35.00, 40.00,  0.00
18.62961769104004,555.00, 50.00,  0.00
18.887125492095947,480.00,460.00,360.00
19.145562648773193,  0.00,455.00,445.00
19.403667449951172, 65.00,  0.00,  0.00
19.66142439842224, 35.00, 65.00,  0.00
19.919912099838257,560.00,230.00,  0.00
20.176884174346924,460.00,460.00,335.00
20.434898138046265,  0.00,525.00,545.00
20.692713022232056, 75.00,  0.00, 45.00
20.951117038726807, 15.00, 25.00,  0.00
21.209200859069824,530.00, 20.00,  0.00
21.466131925582886,530.00,345.00,260.00
21.723994731903076,205.00,505.00,485.00
21.982335567474365, 75.00,  0.00,  0.00
22.240692615509033,  0.00, 35.00,  0.00
22.499448776245117,490.00, 95.00,  0.00
22.75646448135376,550.00,300.00,  0.00
23.014217615127563,480.00,455.00,360.00
23.272607564926147,  0.00,350.00,355.00
23.53102159500122, 40.00, 15.00,  0.00
23.79053831100464,115.00, 20.00,  0.00
24.049041271209717,560.00,335.00, 35.00
24.30681324005127,485.00,455.00,355.00
24.56512427330017,  0.00,480.00,530.00
24.823740243911743, 60.00,  0.00,  0.00
25.082412242889404,  0.00,  5.00,  0.00
25.340484380722046,515.00, 40.00,  0.00
25.59737730026245,535.00,305.00,270.00
25.85434126853943,460.00,465.00,485.00
26.112382173538208, 90.00, 25.00,  0.00
26.37081503868103, 20.00, 35.00,  0.00
26.628376245498657,455.00, 20.00,  0.00
26.886282205581665,555.00,335.00, 80.00
27.144525289535522,485.00,450.00,405.00
27.40362310409546,  0.00,295.00,305.00
27.662719249725342, 25.00,  0.00,  0.00
27.92201519012451,170.00, 15.00,  0.00
28.180532217025757,555.00,275.00,  0.00
28.43941593170166,485.00,430.00,360.00
28.697641134262085,  0.00,420.00,520.00
28.95605707168579, 30.00,  0.00,  0.00
29.215177059173584, 20.00, 40.00,  0.00
29.47359800338745,555.00,310.00, 15.00
29.730645179748535,465.00,450.00,400.00
29.98760199546814,  5.00,500.00,550.00
30.245366096496582, 65.00,  0.00, 25.00
30.503627061843872, 30.00, 85.00,  0.00
30.76203203201294,560.00,335.00, 10.00
31.021295070648193,475.00,435.00,415.00
31.279967069625854,  0.00,450.00,550.00
31.53859519958496, 60.00,  0.00,105.00
31.7973473072052, 20.00, 90.00,  0.00
32.056148052215576,570.00,155.00,  0.00
32.31447505950928,525.00,360.00,200.00
32.57364630699158, 25.00,495.00,545.00
32.832701444625854, 80.00,  0.00,100.00
33.091888189315796, 30.00, 90.00,  0.00
33.35105538368225,565.00,255.00,  0.00
33.60986328125,525.00,335.00,335.00
33.869837284088135,100.00,495.00,560.00
34.12813949584961, 45.00,  0.00, 50.00
34.38723039627075, 20.00, 45.00,  0.00
34.64645743370056,555.00, 50.00,  0.00
34.904949426651,510.00,390.00,290.00
35.164201498031616, 45.00,540.00,525.00
35.4235315322876, 20.00,  0.00,  0.00
35.6824254989624,  5.00, 30.00,  0.00
35.94091057777405,535.00,110.00,  0.00
36.19581079483032,515.00,400.00,225.00
36.449710845947266,105.00,530.00,510.00
36.703481912612915,100.00,  0.00,  0.00
36.95726203918457, 25.00, 25.00, 20.00
37.21358394622803,500.00, 20.00,  0.00
37.47098231315613,540.00,315.00,120.00
37.72904825210571,200.00,520.00,425.00
