s, V0, V1, V2
0.008638381958007812,  0.00, 25.00,  0.00
0.268815279006958,530.00,350.00,200.00
0.5275969505310059,485.00,470.00,395.00
0.7871367931365967,120.00,550.00,500.00
1.0460138320922852, 55.00, 30.00,  0.00
1.3045575618743896,  0.00, 25.00,  0.00
1.5637648105621338,330.00,  0.00,  0.00
1.8224406242370605,515.00,465.00,410.00
2.080186367034912,225.00,525.00,480.00
2.338709592819214,  0.00,395.00,375.00
2.5969152450561523, 35.00, 30.00,  0.00
2.85522723197937,  0.00, 45.00,  0.00
3.1128973960876465,505.00,240.00,  0.00
3.371345281600952,550.00,365.00,140.00
3.6308059692382812,545.00,365.00,210.00
3.892451047897339,115.00,520.00,510.00
4.146617889404297, 70.00, 30.00,  0.00
4.403288841247559, 20.00, 30.00,  0.00
4.662410736083984,470.00, 20.00,  0.00
4.92153000831604,520.00,450.00,380.00
5.180783748626709,495.00,480.00,435.00
5.44042181968689,455.00,455.00,410.00
5.699978590011597,485.00,425.00,355.00
5.958874702453613,495.00,390.00,330.00
6.217015504837036,490.00,355.00,285.00
6.474500417709351,455.00,345.00,275.00
6.733665466308594,140.00,210.00,130.00
6.99196457862854, 90.00, 30.00,  0.00
7.250330448150635, 85.00, 25.00,  0.00
7.509164333343506,105.00, 25.00,  0.00
7.766996383666992,180.00,325.00,360.00
8.025436162948608,275.00,445.00,415.00
8.283704042434692,350.00,475.00,430.00
8.541421175003052,340.00,485.00,435.00
8.799773931503296,395.00,480.00,435.00
9.058145999908447,445.00,465.00,415.00
9.316447973251343,485.00,445.00,380.00
9.574214935302734,490.00,425.00,365.00
9.832586765289307,495.00,420.00,355.00
10.091351985931396,495.00,420.00,350.00
10.349571943283081,500.00,415.00,345.00
10.608399629592896,495.00,415.00,350.00
10.866561889648438,500.00,415.00,355.00
11.125943899154663,500.00,420.00,355.00
11.384822607040405,500.00,425.00,360.00
11.643016815185547,500.00,415.00,345.00
11.901209592819214,505.00,410.00,340.00
12.15957760810852,505.00,410.00,330.00
12.418769836425781,510.00,405.00,330.00
12.67694640159607,505.00,395.00,330.00
12.935303449630737,510.00,375.00,320.00
13.194154500961304,510.00,370.00,315.00
13.452277660369873,515.00,365.00,305.00
13.710995435714722,515.00,365.00,305.00
13.969266414642334,510.00,385.00,325.00
14.227477550506592,505.00,390.00,335.00
14.486027240753174,510.00,390.00,335.00
14.743788242340088,505.00,385.00,340.00
15.002188444137573,510.00,390.00,340.00
15.260576248168945,510.00,390.00,335.00
15.519118309020996,510.00,380.00,330.00
15.778613328933716,515.00,375.00,320.00
16.035954475402832,520.00,365.00,300.00
16.295254230499268,520.00,365.00,295.00
16.553813219070435,535.00,395.00,310.00
16.811641454696655,545.00,405.00,325.00
17.070088148117065,540.00,375.00,320.00
17.328452348709106,500.00,285.00,260.00
17.58753228187561,150.00,255.00,185.00
17.846347332000732, 80.00, 95.00,  0.00
18.104758262634277, 85.00, 30.00,  0.00
18.363731384277344, 85.00, 25.00,  0.00
18.622690439224243, 85.00, 25.00,  0.00
18.880470275878906, 60.00, 20.00,  0.00
19.139718532562256, 45.00, 75.00,145.00
19.398048400878906, 85.00, 20.00,  0.00
19.656386375427246,105.00, 20.00,  0.00
19.914482593536377,135.00, 15.00,  0.00
20.17314338684082,560.00,370.00,330.00
20.43180561065674,495.00,465.00,375.00
20.689520359039307,  0.00,410.00,405.00
20.948322296142578, 50.00,  0.00,  0.00
21.20581841468811,500.00,  0.00,  0.00
21.46347141265869,420.00,480.00,325.00
21.72180151939392,  0.00,530.00,495.00
21.97955632209778, 50.00,  0.00,  0.00
22.23827838897705,490.00, 10.00,  0.00
22.496230363845825,435.00,480.00,300.00
22.755545616149902,  0.00,465.00,535.00
23.013895511627197, 60.00,  0.00,  0.00
23.272212505340576,490.00, 85.00,  0.00
23.53105068206787,230.00,500.00,420.00
23.788906574249268,  0.00,500.00,555.00
24.047157764434814, 35.00,  5.00,  0.00
24.30541157722473,  0.00, 45.00,  0.00
24.56461477279663,545.00,470.00,360.00
24.82283091545105,245.00,500.00,430.00
25.08053183555603,  0.00, 25.00,  0.00
25.339006900787354, 55.00, 10.00,  0.00
25.597193717956543,570.00,445.00,300.00
25.855695962905884,385.00,495.00,435.00
26.114092111587524, 45.00, 10.00,  0.00
26.373116970062256,  0.00,130.00,  0.00
26.631803035736084,255.00,550.00,555.00
26.889512062072754, 45.00, 65.00,  0.00
27.148609161376953,540.00,535.00,500.00
27.406076192855835,115.00, 30.00,  0.00
27.665340185165405,  0.00, 50.00,  0.00
27.923919200897217,  0.00,425.00,390.00
28.182120323181152, 60.00, 25.00,  0.00
28.43988037109375,560.00,460.00,365.00
28.69906449317932,  0.00, 20.00,  5.00
28.958603620529175,  0.00, 10.00,  0.00
29.216126441955566,475.00,510.00,540.00
29.474602460861206,150.00, 25.00,  0.00
29.732927560806274, 25.00, 15.00,  0.00
29.99131751060486,545.00,495.00,405.00
30.249802827835083,170.00,525.00,440.00
30.508917808532715,  0.00, 35.00,  0.00
30.767051935195923,  0.00,  0.00,  0.00
31.02462387084961,545.00,430.00,375.00
31.283785104751587,360.00,500.00,445.00
31.54252600669861,  0.00,250.00,195.00
31.80026412010193,  0.00, 75.00,  0.00
32.05954313278198,490.00,105.00,  0.00
32.318331241607666,510.00,465.00,345.00
32.57654118537903,475.00,510.00,395.00
32.83503723144531,480.00,505.00,310.00
33.092668533325195,505.00,485.00,245.00
33.35111665725708,510.00,480.00,245.00
33.60934257507324,510.00,475.00,250.00
33.867533683776855,510.00,465.00,245.00
34.12559676170349,500.00,440.00,260.00
34.38383769989014,480.00,415.00,310.00
34.64169001579285,275.00,400.00,320.00
34.900906801223755,165.00,350.00,330.00
35.159236907958984,140.00,430.00,425.00
35.41749811172485, 30.00,435.00,370.00
35.67628622055054, 50.00, 55.00,  0.00
35.934492111206055,560.00,315.00, 45.00
