s, V0, V1, V2
0.004446983337402344,465.00,  0.00,  0.00
0.2599818706512451,485.00,450.00,365.00
0.5164082050323486,  0.00,520.00,520.00
0.77571702003479,  0.00, 75.00,  0.00
1.0348756313323975,505.00, 90.00,  0.00
1.2939653396606445,475.00,435.00,325.00
1.5532639026641846,  0.00,550.00,540.00
1.8124291896820068,  0.00, 55.00,  0.00
2.071598768234253,355.00, 50.00,  0.00
2.331052541732788,470.00,455.00,355.00
2.5902419090270996,  0.00,545.00,510.00
2.8527894020080566,  0.00, 45.00,  0.00
3.1123106479644775,  0.00, 80.00,  0.00
3.3710122108459473,555.00,440.00,285.00
3.629744529724121,495.00,430.00,375.00
3.88801908493042,  0.00,450.00,565.00
4.146218538284302,  0.00,  5.00,  0.00
4.403932809829712,  0.00,100.00,  0.00
4.6630470752716064,515.00,455.00,385.00
4.921758413314819, 90.00,515.00,490.00
5.179485559463501,  0.00, 45.00,  0.00
5.438637018203735,  0.00, 60.00,  0.00
5.69684910774231,480.00,460.00,430.00
5.955016374588013, 25.00,525.00,500.00
6.214029550552368,  0.00, 55.00,  0.00
6.471664905548096, 85.00,140.00,  0.00
6.730831146240234,500.00,440.00,335.00
6.989069938659668,  5.00,530.00,520.00
7.247533321380615, 10.00,100.00,  0.00
7.505701303482056,545.00,490.00,470.00
7.764443397521973,  0.00, 70.00,  0.00
8.02213740348816,  0.00,160.00,  0.00
8.280606508255005,  0.00,330.00,260.00
8.538411378860474,  0.00,125.00,  0.00
8.798309326171875,495.00,500.00,445.00
9.055767297744751,  0.00,300.00,440.00
9.314147233963013,  0.00, 45.00,  0.00
9.572389364242554,540.00,195.00,  0.00
9.83016324043274,440.00,440.00,350.00
10.088494062423706,  0.00,445.00,530.00
10.344411849975586,  0.00, 35.00,  0.00
10.601089715957642,455.00, 65.00,  0.00
10.860239505767822,465.00,460.00,400.00
11.119393348693848,  0.00,515.00,550.00
11.377853155136108,  0.00, 50.00,  0.00
11.63473892211914,180.00, 75.00,  0.00
11.893251657485962,525.00,445.00,325.00
12.150975227355957,345.00,510.00,445.00
12.40678596496582,  0.00,355.00,380.00
12.660505771636963,  0.00, 50.00,  0.00
12.918089389801025,460.00, 25.00,  0.00
13.176777839660645,495.00,435.00,390.00
13.436401605606079,  0.00,520.00,515.00
13.695909023284912,  0.00, 45.00,  0.00
13.955083847045898,  0.00, 70.00,  0.00
14.214561223983765,540.00,440.00,325.00
14.473281860351562,435.00,465.00,435.00
14.731955528259277,  0.00,250.00,225.00
14.98969578742981,  0.00, 40.00,  0.00
15.24883222579956,505.00,275.00,  0.00
15.507039785385132,475.00,445.00,385.00
15.765401124954224,  0.00,505.00,545.00
16.02345848083496,  0.00, 45.00,  0.00
16.281408071517944,350.00,  5.00,  0.00
16.540526390075684,485.00,465.00,375.00
16.798919677734375,  0.00,535.00,475.00
17.05796980857849,  0.00, 85.00,  0.00
17.316219329833984,  0.00,440.00,415.00
17.574495553970337, 80.00,460.00,435.00
17.833369731903076,455.00,445.00,370.00
18.091976165771484,525.00,405.00,135.00
18.35068130493164,455.00,490.00,400.00
18.608973503112793,  0.00,545.00,475.00
18.867111682891846,  0.00,395.00,335.00
19.12545108795166,  0.00, 65.00,  0.00
19.383815050125122,  0.00, 70.00,  0.00
19.641640186309814,495.00,275.00,  0.00
19.90074133872986,495.00,455.00,380.00
20.159382581710815,380.00,510.00,450.00
20.41769242286682,  0.00,240.00,175.00
20.675950527191162,  0.00, 95.00,  0.00
20.934136629104614,  0.00,440.00,425.00
21.192299604415894,  0.00,460.00,450.00
21.45057773590088,  0.00,355.00,360.00
21.708877563476562,  0.00, 60.00,  0.00
21.968514442443848,140.00, 90.00,  0.00
22.226535320281982,475.00,455.00,365.00
22.485244274139404,  0.00,540.00,465.00
22.744805335998535,  0.00, 30.00,  0.00
23.003180265426636,  0.00,125.00,  0.00
23.261229038238525,  0.00,450.00,525.00
23.519609928131104,  0.00, 55.00,  0.00
23.777979612350464,  0.00,250.00,  0.00
24.036551475524902,  0.00,285.00,235.00
24.294284343719482,  0.00, 70.00,  0.00
24.550592184066772,420.00,530.00,485.00
